PARAMETRES: Model IC (interval confiança : 1), Algorisme greedy, Probabilitat: 0.9
Inici lectura graf...
Final lectura graf
Model IC. 
Executant algorisme: greedy
Probabilidad Medida del conjunto solución Intervalo de confianza
0.4 3 0.011
0.4 4 0.0202
0.4 5 0.027
0.4 6 0.0383
0.4 7 0.0491
0.4 8 0.1153
0.4 9 0.3622
0.4 10 1
0.41 1 0.0082
0.41 2 0.0082
0.41 3 0.0122
0.41 4 0.0222
0.41 5 0.0302
0.41 6 0.0426
0.41 7 0.054
0.41 8 0.1223
0.41 9 0.3719
0.41 10 1
0.42 1 0.0106
0.42 2 0.0106
0.42 3 0.0147
0.42 4 0.0255
0.42 5 0.0347
0.42 6 0.0474
0.42 7 0.059
0.42 8 0.1291
0.42 9 0.3803
0.42 10 1
0.43 1 0.0131
0.43 2 0.0131
0.43 3 0.0173
0.43 4 0.0292
0.43 5 0.0394
0.43 6 0.0523
0.43 7 0.0643
0.43 8 0.1367
0.43 9 0.3883
0.43 10 1
0.44 1 0.0152
0.44 2 0.0152
0.44 3 0.0197
0.44 4 0.0325
0.44 5 0.0437
0.44 6 0.0571
0.44 7 0.0698
0.44 8 0.1453
0.44 9 0.4014
0.44 10 1
0.45 1 0.0171
0.45 2 0.0171
0.45 3 0.0218
0.45 4 0.0364
0.45 5 0.0486
0.45 6 0.0626
0.45 7 0.0761
0.45 8 0.155
0.45 9 0.4133
0.45 10 1
0.46 1 0.0166
0.46 2 0.0181
0.46 3 0.0252
0.46 4 0.0425
0.46 5 0.0556
0.46 6 0.0711
0.46 7 0.0873
0.46 8 0.1779
0.46 9 0.4226
0.46 10 1
0.47 1 0.0179
0.47 2 0.0179
0.47 3 0.024
0.47 4 0.0394
0.47 5 0.0536
0.47 6 0.0687
0.47 7 0.0847
0.47 8 0.171
0.47 9 0.428
0.47 10 1
0.48 1 0.0203
0.48 2 0.0203
0.48 3 0.0267
0.48 4 0.0428
0.48 5 0.0581
0.48 6 0.0736
0.48 7 0.0903
0.48 8 0.1796
0.48 9 0.4401
0.48 10 1
0.49 1 0.0233
0.49 2 0.0233
0.49 3 0.0295
0.49 4 0.0473
0.49 5 0.0641
0.49 6 0.0809
0.49 7 0.0976
0.49 8 0.19
0.49 9 0.4517
0.49 10 1
0.5 1 0.0271
0.5 2 0.0271
0.5 3 0.0336
0.5 4 0.0526
0.5 5 0.0698
0.5 6 0.0887
0.5 7 0.106
0.5 8 0.202
0.5 9 0.463
0.5 10 1
0.51 1 0.0314
0.51 2 0.0314
0.51 3 0.038
0.51 4 0.0577
0.51 5 0.0762
0.51 6 0.0945
0.51 7 0.1125
0.51 8 0.2138
0.51 9 0.4737
0.51 10 1
0.52 1 0.0366
0.52 2 0.0379
0.52 3 0.0412
0.52 4 0.0598
0.52 5 0.076
0.52 6 0.0958
0.52 7 0.1195
0.52 8 0.2303
0.52 9 0.5008
0.52 10 1
0.53 1 0.044
0.53 2 0.044
0.53 3 0.0508
0.53 4 0.071
0.53 5 0.0907
0.53 6 0.1111
0.53 7 0.134
0.53 8 0.2392
0.53 9 0.505
0.53 10 1
0.54 1 0.0507
0.54 2 0.0507
0.54 3 0.0569
0.54 4 0.0781
0.54 5 0.0995
0.54 6 0.1205
0.54 7 0.1435
0.54 8 0.2521
0.54 9 0.5188
0.54 10 1
0.55 1 0.0576
0.55 2 0.0576
0.55 3 0.0638
0.55 4 0.0868
0.55 5 0.1092
0.55 6 0.1305
0.55 7 0.1543
0.55 8 0.2663
0.55 9 0.5294
0.55 10 1
0.56 1 0.0648
0.56 2 0.0648
0.56 3 0.0712
0.56 4 0.0954
0.56 5 0.1176
0.56 6 0.1402
0.56 7 0.1653
0.56 8 0.2808
0.56 9 0.5402
0.56 10 1
0.57 1 0.0723
0.57 2 0.0723
0.57 3 0.0784
0.57 4 0.1037
0.57 5 0.1259
0.57 6 0.1488
0.57 7 0.1744
0.57 8 0.2926
0.57 9 0.5509
0.57 10 1
0.58 1 0.0804
0.58 2 0.0804
0.58 3 0.0865
0.58 4 0.1135
0.58 5 0.1364
0.58 6 0.1598
0.58 7 0.1856
0.58 8 0.3046
0.58 9 0.5617
0.58 10 1
0.59 1 0.0874
0.59 2 0.0874
0.59 3 0.0959
0.59 4 0.1235
0.59 5 0.146
0.59 6 0.1717
0.59 7 0.1973
0.59 8 0.3216
0.59 9 0.5755
0.59 10 1
0.6 1 0.096
0.6 2 0.096
0.6 3 0.1048
0.6 4 0.1328
0.6 5 0.1563
0.6 6 0.183
0.6 7 0.2081
0.6 8 0.3349
0.6 9 0.5871
0.6 10 1
0.61 1 0.1053
0.61 2 0.1053
0.61 3 0.1141
0.61 4 0.1425
0.61 5 0.1658
0.61 6 0.1925
0.61 7 0.2177
0.61 8 0.3482
0.61 9 0.598
0.61 10 1
0.62 1 0.1151
0.62 2 0.1151
0.62 3 0.1235
0.62 4 0.1528
0.62 5 0.1769
0.62 6 0.2035
0.62 7 0.2287
0.62 8 0.361
0.62 9 0.6077
0.62 10 1
0.63 1 0.1264
0.63 2 0.1264
0.63 3 0.1345
0.63 4 0.1652
0.63 5 0.1888
0.63 6 0.2155
0.63 7 0.2412
0.63 8 0.3753
0.63 9 0.6199
0.63 10 1
0.64 1 0.1383
0.64 2 0.1383
0.64 3 0.1463
0.64 4 0.1783
0.64 5 0.2013
0.64 6 0.2283
0.64 7 0.2534
0.64 8 0.3889
0.64 9 0.6309
0.64 10 1
0.65 1 0.1491
0.65 2 0.155
0.65 3 0.1611
0.65 4 0.1944
0.65 5 0.2183
0.65 6 0.248
0.65 7 0.2799
0.65 8 0.4241
0.65 9 0.6536
0.65 10 1
0.66 1 0.158
0.66 2 0.158
0.66 3 0.1641
0.66 4 0.2021
0.66 5 0.2249
0.66 6 0.2529
0.66 7 0.2805
0.66 8 0.4184
0.66 9 0.6537
0.66 10 1
0.67 1 0.1722
0.67 2 0.1722
0.67 3 0.178
0.67 4 0.2158
0.67 5 0.2386
0.67 6 0.2665
0.67 7 0.2942
0.67 8 0.4326
0.67 9 0.6624
0.67 10 1
0.68 1 0.1893
0.68 2 0.1893
0.68 3 0.1949
0.68 4 0.232
0.68 5 0.2548
0.68 6 0.2817
0.68 7 0.3102
0.68 8 0.4492
0.68 9 0.6766
0.68 10 1
0.69 1 0.2048
0.69 2 0.2048
0.69 3 0.2103
0.69 4 0.2472
0.69 5 0.2701
0.69 6 0.2974
0.69 7 0.3255
0.69 8 0.4663
0.69 9 0.6893
0.69 10 1
0.7 1 0.2249
0.7 2 0.2249
0.7 3 0.2304
0.7 4 0.2667
0.7 5 0.2888
0.7 6 0.3146
0.7 7 0.342
0.7 8 0.4819
0.7 9 0.6966
0.7 10 1
0.71 1 0.2438
0.71 2 0.2438
0.71 3 0.2491
0.71 4 0.286
0.71 5 0.3071
0.71 6 0.3325
0.71 7 0.3584
0.71 8 0.4977
0.71 9 0.71
0.71 10 1
0.72 1 0.2615
0.72 2 0.2615
0.72 3 0.266
0.72 4 0.2997
0.72 5 0.3216
0.72 6 0.3496
0.72 7 0.3702
0.72 8 0.5118
0.72 9 0.72
0.72 10 1
0.73 1 0.2782
0.73 2 0.2782
0.73 3 0.2821
0.73 4 0.3165
0.73 5 0.3374
0.73 6 0.3655
0.73 7 0.3849
0.73 8 0.5254
0.73 9 0.7285
0.73 10 1
0.74 1 0.2988
0.74 2 0.2988
0.74 3 0.3021
0.74 4 0.3354
0.74 5 0.3565
0.74 6 0.3837
0.74 7 0.4031
0.74 8 0.5437
0.74 9 0.7406
0.74 10 1
0.75 1 0.3204
0.75 2 0.3204
0.75 3 0.3234
0.75 4 0.3555
0.75 5 0.377
0.75 6 0.4035
0.75 7 0.4226
0.75 8 0.5626
0.75 9 0.7512
0.75 10 1
0.76 1 0.3394
0.76 2 0.3394
0.76 3 0.3423
0.76 4 0.3745
0.76 5 0.3952
0.76 6 0.4211
0.76 7 0.44
0.76 8 0.5787
0.76 9 0.7618
0.76 10 1
0.77 1 0.3635
0.77 2 0.3635
0.77 3 0.3664
0.77 4 0.397
0.77 5 0.4181
0.77 6 0.4424
0.77 7 0.4612
0.77 8 0.5971
0.77 9 0.7735
0.77 10 1
0.78 1 0.3873
0.78 2 0.3873
0.78 3 0.3901
0.78 4 0.4214
0.78 5 0.4409
0.78 6 0.4639
0.78 7 0.482
0.78 8 0.6152
0.78 9 0.7847
0.78 10 1
0.79 1 0.412
0.79 2 0.412
0.79 3 0.414
0.79 4 0.445
0.79 5 0.466
0.79 6 0.4832
0.79 7 0.5006
0.79 8 0.6315
0.79 9 0.7976
0.79 10 1
0.8 1 0.436
0.8 2 0.436
0.8 3 0.4379
0.8 4 0.4682
0.8 5 0.4879
0.8 6 0.5053
0.8 7 0.5212
0.8 8 0.649
0.8 9 0.8077
0.8 10 1
0.81 1 0.4648
0.81 2 0.4648
0.81 3 0.466
0.81 4 0.4952
0.81 5 0.5134
0.81 6 0.5299
0.81 7 0.5464
0.81 8 0.6696
0.81 9 0.8215
0.81 10 1
0.82 1 0.4921
0.82 2 0.4921
0.82 3 0.4934
0.82 4 0.522
0.82 5 0.5383
0.82 6 0.5532
0.82 7 0.5696
0.82 8 0.6886
0.82 9 0.8315
0.82 10 1
0.83 1 0.5182
0.83 2 0.5182
0.83 3 0.5193
0.83 4 0.5458
0.83 5 0.5604
0.83 6 0.5736
0.83 7 0.5881
0.83 8 0.7013
0.83 9 0.8392
0.83 10 1
0.84 1 0.5462
0.84 2 0.5462
0.84 3 0.5473
0.84 4 0.5716
0.84 5 0.5852
0.84 6 0.5973
0.84 7 0.6103
0.84 8 0.7184
0.84 9 0.8493
0.84 10 1
0.85 1 0.5878
0.85 2 0.5882
0.85 3 0.5888
0.85 4 0.6071
0.85 5 0.6174
0.85 6 0.6286
0.85 7 0.6407
0.85 8 0.7377
0.85 9 0.8632
0.85 10 1
0.86 1 0.6144
0.86 2 0.6144
0.86 3 0.6149
0.86 4 0.6314
0.86 5 0.6416
0.86 6 0.6524
0.86 7 0.6629
0.86 8 0.7572
0.86 9 0.8789
0.86 10 1
0.87 1 0.643
0.87 2 0.643
0.87 3 0.6436
0.87 4 0.6589
0.87 5 0.6674
0.87 6 0.6768
0.87 7 0.6861
0.87 8 0.7741
0.87 9 0.8879
0.87 10 1
0.88 1 0.6754
0.88 2 0.6754
0.88 3 0.6758
0.88 4 0.6895
0.88 5 0.6969
0.88 6 0.705
0.88 7 0.7127
0.88 8 0.7936
0.88 9 0.899
0.88 10 1
0.89 1 0.7028
0.89 2 0.7028
0.89 3 0.7031
0.89 4 0.7149
0.89 5 0.7211
0.89 6 0.728
0.89 7 0.7348
0.89 8 0.81
0.89 9 0.908
0.89 10 1
0.9 1 0.7351
0.9 2 0.7351
0.9 3 0.7354
0.9 4 0.746
0.9 5 0.7507
0.9 6 0.7562
0.9 7 0.7621
0.9 8 0.8299
0.9 9 0.9173
0.9 10 1
0.91 1 0.7613
0.91 2 0.7613
0.91 3 0.7616
0.91 4 0.7704
0.91 5 0.774
0.91 6 0.779
0.91 7 0.7842
0.91 8 0.8462
0.91 9 0.9251
0.91 10 1
0.92 1 0.7838
0.92 2 0.7838
0.92 3 0.7841
0.92 4 0.7919
0.92 5 0.7949
0.92 6 0.7986
0.92 7 0.8025
0.92 8 0.8636
0.92 9 0.9274
0.92 10 1
0.93 1 0.8135
0.93 2 0.8135
0.93 3 0.8138
0.93 4 0.8199
0.93 5 0.8224
0.93 6 0.8249
0.93 7 0.8283
0.93 8 0.8815
0.93 9 0.9376
0.93 10 1
0.94 1 0.8452
0.94 2 0.8452
0.94 3 0.8454
0.94 4 0.8498
0.94 5 0.8519
0.94 6 0.8532
0.94 7 0.8559
0.94 8 0.9014
0.94 9 0.9489
0.94 10 1
0.95 1 0.8772
0.95 2 0.8772
0.95 3 0.8772
0.95 4 0.8808
0.95 5 0.8823
0.95 6 0.8832
0.95 7 0.8848
0.95 8 0.9222
0.95 9 0.9594
0.95 10 1
0.96 1 0.9081
0.96 2 0.9081
0.96 3 0.9081
0.96 4 0.9102
0.96 5 0.9114
0.96 6 0.9121
0.96 7 0.9127
0.96 8 0.9424
0.96 9 0.9715
0.96 10 1
0.97 1 0.9402
0.97 2 0.9402
0.97 3 0.9402
0.97 4 0.9408
0.97 5 0.9411
0.97 6 0.9414
0.97 7 0.9416
0.97 8 0.9614
0.97 9 0.9806
0.97 10 1
0.98 1 0.9688
0.98 2 0.9688
0.98 3 0.9688
0.98 4 0.969
0.98 5 0.969
0.98 6 0.969
0.98 7 0.9691
0.98 8 0.9793
0.98 9 0.9894
0.98 10 1
0.99 1 1
ERROR: Retorn de l'algorisme i mida S no concorden
